회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
1회,2002년12월07일,10,23,29,33,37,40,16,0,0원,"3,681,782,000원"
2회,2002년12월14일,9,13,21,25,32,42,2,1,"2,002,006,800원","4,904,274,000원"
3회,2002년12월21일,11,16,19,21,27,31,30,1,"2,000,000,000원","4,729,342,000원"
4회,2002년12월28일,14,27,30,31,40,42,2,0,0원,"5,271,464,000원"
5회,2003년01월04일,16,24,29,40,41,42,3,0,0원,"6,277,102,000원"
6회,2003년01월11일,14,15,26,27,40,42,34,1,"6,574,451,700원","15,305,356,000원"
7회,2003년01월18일,2,9,16,25,26,40,42,0,0원,"12,794,890,000원"
8회,2003년01월25일,8,19,25,34,37,39,9,0,0원,"20,751,450,000원"
9회,2003년02월01일,2,4,16,17,36,39,14,0,0원,"73,624,020,000원"
10회,2003년02월08일,9,25,30,33,41,44,6,13,"6,430,437,900원","260,856,392,000원"
11회,2003년02월15일,1,7,36,37,41,42,14,5,"4,780,152,300원","91,925,306,000원"
12회,2003년02월22일,2,11,21,25,39,45,44,12,"1,348,845,700원","76,255,508,000원"
13회,2003년03월01일,22,23,25,37,38,42,26,0,0원,"66,532,136,000원"
14회,2003년03월08일,2,6,12,31,33,40,15,4,"9,375,048,300원","99,838,648,000원"
15회,2003년03월15일,3,4,16,30,31,37,13,1,"17,014,245,000원","73,264,910,000원"
16회,2003년03월22일,6,7,24,37,38,40,33,4,"4,377,146,100원","75,777,348,000원"
17회,2003년03월29일,3,4,9,17,32,37,1,3,"5,349,491,200원","72,718,152,000원"
18회,2003년04월05일,3,12,13,19,32,35,29,0,0원,"66,371,660,000원"
19회,2003년04월12일,6,30,38,39,40,43,26,1,"40,722,959,400원","105,957,818,000원"
20회,2003년04월19일,10,14,18,20,23,30,41,1,"19,352,212,800원","81,056,776,000원"
21회,2003년04월26일,6,12,17,18,31,32,21,23,"797,475,400원","84,247,142,000원"
22회,2003년05월03일,4,5,6,8,17,39,25,4,"4,552,194,900원","79,455,152,000원"
23회,2003년05월10일,5,13,17,18,33,42,44,4,"4,317,947,700원","77,374,256,000원"
24회,2003년05월17일,7,8,27,29,36,43,6,0,0원,"78,486,634,000원"
25회,2003년05월24일,2,4,21,26,43,44,16,2,"24,227,745,300원","120,073,768,000원"
26회,2003년05월31일,4,5,7,18,20,25,31,5,"3,495,069,900원","80,193,026,000원"
27회,2003년06월07일,1,20,26,28,37,43,27,2,"9,543,982,500원","76,145,050,000원"
28회,2003년06월14일,9,18,23,25,35,37,1,10,"1,700,361,100원","75,448,366,000원"
29회,2003년06월21일,1,5,13,34,39,40,11,5,"3,552,594,000원","74,523,120,000원"
30회,2003년06월28일,8,17,20,35,36,44,4,2,"8,728,555,500원","72,399,690,000원"
31회,2003년07월05일,7,9,18,23,28,35,32,2,"8,106,672,900원","71,317,306,000원"
32회,2003년07월12일,6,14,19,25,34,44,11,10,"1,634,528,300원","71,179,198,000원"
33회,2003년07월19일,4,7,32,33,40,41,9,1,"14,903,517,600원","67,457,252,000원"
34회,2003년07월26일,9,26,35,37,40,42,2,5,"3,056,918,000원","69,389,894,000원"
35회,2003년08월02일,2,3,11,26,37,43,39,3,"5,054,598,200원","66,143,062,000원"
36회,2003년08월09일,1,10,23,26,28,40,31,1,"16,014,475,800원","66,856,686,000원"
37회,2003년08월16일,7,27,30,33,35,37,42,3,"4,985,999,400원","65,509,794,000원"
38회,2003년08월23일,16,17,22,30,37,43,36,3,"5,374,866,400원","67,369,284,000원"
39회,2003년08월30일,6,7,13,15,21,43,8,6,"2,623,748,800원","66,094,476,000원"
40회,2003년09월06일,7,13,18,19,25,26,6,13,"1,147,652,400원","65,699,086,000원"
41회,2003년09월13일,13,20,23,35,38,43,34,0,0원,"57,624,562,000원"
42회,2003년09월20일,17,18,19,21,23,32,1,6,"6,899,280,100원","119,909,740,000원"
43회,2003년09월27일,6,31,35,38,39,44,1,1,"17,749,630,800원","74,686,296,000원"
44회,2003년10월04일,3,11,21,30,38,45,39,5,"3,362,155,800원","69,956,950,000원"
45회,2003년10월11일,1,10,20,27,33,35,17,2,"8,356,417,800원","71,216,232,000원"
46회,2003년10월18일,8,13,15,23,31,38,39,3,"5,327,758,800원","68,181,568,000원"
47회,2003년10월25일,14,17,26,31,36,45,27,5,"3,250,042,400원","67,756,694,000원"
48회,2003년11월01일,6,10,18,26,37,38,3,6,"2,415,673,600원","65,806,832,000원"
49회,2003년11월08일,4,7,16,19,33,40,30,7,"1,967,504,600원","64,501,142,000원"
50회,2003년11월15일,2,10,12,15,22,44,1,3,"5,227,061,400원","65,563,234,000원"
